song,artist,chord_progression
Everything Is Awesome,Tegan and Sara,♭VI → V
I Am the Walrus,The Beatles,♭VI → V
Honey Pie,The Beatles,♭VI → V
Mean Mr Mustard,The Beatles,♭VI → V
Oh Darling,The Beatles,♭VI → V
Blackbird,The Beatles,♭VI → V
Birdhouse In Your Soul,They Might Be Giants,♭VI → V
Megalovania,Toby Fox,♭VI → V
The HIV Song,Ween,♭VI → V
I Want You To,Weezer,♭VI → V
Stardust Witch Meruru - Meteo Impact,Yukari Tamura,♭VI → V
SOS,ABBA,♭VII → I
You Oughta Know,Alanis Morissette,♭VII → I
Reckless,Australian Crawl,♭VII → I
Summer of 69,Bryan Adams,♭VII → I
On the Road Again,Canned Heat,♭VII → I
It's Choade My Dear,Connan Mockasin,♭VII → I
Escape From The City,Crush 40,♭VII → I
You Gotta Be,Des'ree,♭VII → I
Satellite,Elliott Smith,♭VII → I
A Boy and a Girl,Eric Whitacre,♭VII → I
Nara,Es Posthumus,♭VII → I
Live-In Skin,Foo Fighters,♭VII → I
Vs Brendan and May,Game Freak,♭VII → I
Route 209,Game Freak,♭VII → I
Vs Frontier Brain - Sinnoh,Game Freak,♭VII → I
Aspertia City,Game Freak,♭VII → I
Start of Something New,High School Musical,♭VII → I
Give This Song A Title,Jacksfilms,♭VII → I
Moon Theme - Remastered Version,Jake Kaufman,♭VII → I
Freedom,Jay Hardway - Mike Hawkins,♭VII → I
Bold as love,Jimi Hendrix,♭VII → I
Angel,Jimi Hendrix,♭VII → I
Super Mario 64 - Dire Dire Docks,Koji Kondo,♭VII → I
Super Mario Bros Overworld Theme,Koji Kondo,♭VII → I
Operation C - Area 2,Konami,♭VII → I
For the First Time in Forever,Kristen Bell and Idina Menzel,♭VII → I
Come Into My World,Kylie Minogue,♭VII → I
The Fear,Lily Allen,♭VII → I
I'm A Raver,Lipstick,♭VII → I
I'm A Raver,Liptick,♭VII → I
I'm A Raver,Liptsick,♭VII → I
Hey Now,London Grammar,♭VII → I
Frozen,Madonna,♭VII → I
Mega Man 5 - Dark Man Stage,Mari Yamaguchi,♭VII → I
Sense of Touch,Mark Isham,♭VII → I
Mega Man Unlimited - Prismatic Descent,MegaPhilX,♭VII → I
The Safety Dance,Men Without Hats,♭VII → I
Dreaming in Stereo - Under The Moon,Michael Walthius,♭VII → I
Mitch Benn's Imagine,Mitch Benn,♭VII → I
Gradius Galaxies - Stage 2,Mobile21,♭VII → I
Prague,Muse,♭VII → I
Hero,Nickelback,♭VII → I
Mario Kart Double Dash - Rainbow Road,Nintendo,♭VII → I
Super Mario Galaxy - Buoy Base Galaxy,Nintendo,♭VII → I
Super Mario Galaxy - Gusty Garden Galaxy,Nintendo,♭VII → I
Lithium,Nirvana,♭VII → I
Drive Hard,PrototypeRaptor,♭VII → I
Fancy,Reba McEntire,♭VII → I
I Was Only 19 - A Walk In The Light Green,Redgum,♭VII → I
Drop Dead Gorgeous,Republica,♭VII → I
Fly By Night,Rush,♭VII → I
Shot Heard 'Round the World,Schoolhouse Rock,♭VII → I
Stage Clear,Sega,♭VII → I
Letter From You My Sweet,Shogo Sakai,♭VII → I
Theme Of Prontera,SoundTeMP,♭VII → I
Hyperspace,Star Control II Soundtrack,♭VII → I
Born To Be Wild,Steppenwolf,♭VII → I
Cancion Para mi muerte,Sui Generis,♭VII → I
Hugo's Melancholic Slalom,The Ashes,♭VII → I
A Hard Day's Night,The Beatles,♭VII → I
Cry Baby Cry,The Beatles,♭VII → I
Tomorrow Never Knows,The Beatles,♭VII → I
I Am the Walrus,The Beatles,♭VII → I
I Don't Want To Spoil The Party,The Beatles,♭VII → I
Lady Madonna,The Beatles,♭VII → I
You've Got To Hide Your Love Away,The Beatles,♭VII → I
For No One,The Beatles,♭VII → I
Little Electric,The Good and the Damned,♭VII → I
Lola,The Kinks,♭VII → I
My Sharona,The Knack,♭VII → I
Hey Beautiful,The Solids,♭VII → I
Dead Leaves And The Dirty Ground,The White Stripes,♭VII → I
I Want to Be the Boy to Warm Your Mother's Heart,The White Stripes,♭VII → I
Fell In Love With A Girl,The White Stripes,♭VII → I
Quadrophenia,The Who,♭VII → I
I Can See For Miles,The Who,♭VII → I
The Way I Feel Inside,The Zombies,♭VII → I
Why Must I Be Sad,They Might Be Giants,♭VII → I
Bee Of The Bird Of The Moth,They Might Be Giants,♭VII → I
Dead,They Might Be Giants,♭VII → I
Little Train of Caipira,Villa-Lobos,♭VII → I
Space Junk,Wolfgang Gartner,♭VII → I
Chinito,Yeng Constantino,♭VII → I
The Moon,Yoshihiro Sakaguchi,♭VII → I
The Great Fairy Wars - Fairy Wars,ZUN,♭VII → I
Faith is for the Transient People,ZUN,♭VII → I
Vanishing Dream - Lost Dream,ZUN,♭VII → I
Cemetery of Onbashira - Grave of Being,ZUN,♭VII → I
3 Libras,A Perfect Circle,♭VII → I
Back to the Future Theme,Alan Silvestri,♭VII → I
Night at the Museum,Alan Silvestri,♭VII → I
Future Retro,Animusic,♭VII → I
The Mythos Land,Au5,♭VII → I
Mr Meow,Bali Bandits,♭VII → I
Something,Beatles,♭VII → I
To Love Somebody,Bee Gees,♭VII → I
Skyliner,Boards of Canada,♭VII → I
Night Moves,Bob Seger,♭VII → I
Flyers - Death Parade OP,BRADIO,♭VII → I
Butterfly,BTS,♭VII → I
Sometimes I make video game music,C418,♭VII → I
Sign of the Times,CeeLo,♭VII → I
Baba Yetu,Christopher Tin,♭VII → I
Fortune Teller,cYsmix,♭VII → I
2 Know Good - Teenagerz Remix,DJ Mikesh,♭VII → I
Shimmer and Glow,Douglas Firs,♭VII → I
Rock And Roll,Eric Hutchinson,♭VII → I
Mag Mell Cuckool Mix 2007 - Clannad OP,Eufonius,♭VII → I
Paper Bag,Fiona Apple,♭VII → I
Milliontown,Frost,♭VII → I
Drill Dozer - 3rd Gear,Game Freak,♭VII → I
Contest Assembly Hall,Game Freak,♭VII → I
Lumiose City,Game Freak,♭VII → I
Come Here Daitarn 3,Horimitsu Kazumichi,♭VII → I
Aces High,Iron Maiden,♭VII → I
Getter Robo,Isao Sasaki,♭VII → I
Tate Toushou Daimos,Isao Sasaki,♭VII → I
You and I,IU,♭VII → I
FX 2 - Option,Jake Kaufman,♭VII → I
Shovel Knight - Of Devious Machinations,Jake Kaufman,♭VII → I
Code Monkey,Jonathan Coulton,♭VII → I
Crash Bandicoot Theme,Josh Mancell,♭VII → I
Lights,Journey,♭VII → I
Smoke From A Secret Source,Kaipa,♭VII → I
Carry On My Wayward Son,Kansas,♭VII → I
Space Runaway Ideon - Tales of the Stars,Koichi Sugiyama,♭VII → I
Super Mario Bros 3 - Underwater,Koji Kondo,♭VII → I
Futari no Mojipittan,Kotoba no Puzzle,♭VII → I
Communication Breakdown,Led Zeppelin,♭VII → I
The Sims 2 - Bare Bones,Mark Mothersbaugh,♭VII → I
California Soul,Marlena Shaw,♭VII → I
A Tout le Monde,Megadeth,♭VII → I
Thriller,Michael Jackson,♭VII → I
Ocean Breathes Salty,Modest Mouse,♭VII → I
Typical,Mutemath,♭VII → I
Chill Menu Theme,Nathan Ford,♭VII → I
Deck of War - Ending,Nathan Ford,♭VII → I
Levels,Nick Jonas,♭VII → I
In This Twilight,Nine Inch Nails,♭VII → I
Champagne Supernova,Oasis,♭VII → I
Indian Summer,Ozark Henry,♭VII → I
She's A Handsome Woman,Panic At The Disco,♭VII → I
Queenie Eye,Paul McCartney,♭VII → I
Here Comes The Flood,Peter Gabriel,♭VII → I
Nice To Meet You Mr Earthling,PinocchioP,♭VII → I
You Got It,Roy Orbison,♭VII → I
By-Tor And The Snow Dog,Rush,♭VII → I
Working Man,Rush,♭VII → I
Black Rock Shooter,ryo,♭VII → I
Azure Blue World,Sega,♭VII → I
All I Wanna Do,Sheryl Crow,♭VII → I
Hiiragi Town School Days - Muv-Luv Extra OST,Shinobu Kajihisa,♭VII → I
As I Lay Me Down,Sophie B Hawkins,♭VII → I
That's What Friends Do,Spongebob Squarepants,♭VII → I
Get What,The Besides,♭VII → I
I'll Be There For You,The Rembrants,♭VII → I
Young Pilgrims,The Shins,♭VII → I
You Don't Know What Love Is,The White Stripes,♭VII → I
Black Math,The White Stripes,♭VII → I
Don't Let's Start,They Might Be Giants,♭VII → I
Undertale - Determination,Toby Fox,♭VII → I
2am,Tomoko Sasaki,♭VII → I
Kingdom Hearts,Traverse Town,♭VII → I
Gone,U2,♭VII → I
All Night Low,Violens,♭VII → I
Pony,Wavves,♭VII → I
Super Soaker,Wavves,♭VII → I
Dreamin,Weezer,♭VII → I
Hardware Store,Weird Al Yankovic,♭VII → I
Love and War,Wolfgang Gartner,♭VII → I
Alright with Me,Wretch 32,♭VII → I
Forest Maze,Yoko Shimomura,♭VII → I
Stardust Witch Meruru - Meteo Impact,Yukari Tamura,♭VII → I
Papercut feat Troye Sivan - Grey Remix,Zedd,♭VII → I
Catastrophe in Bhava-agra - Wonderful Heaven,ZUN,♭VII → I
Corpse Voyage - Be of Good Cheer,ZUN,♭VII → I
Touhou 3 - Eastern Mystical Love Consultation,ZUN,♭VII → I
Bell of Avici - Infinite Nightmare,ZUN,♭VII → I
Still Hurting,Anna Kendrick,♭VII → I
Atlantis,Au5,♭VII → I
Night Fever,Bee Gees,♭VII → I
Dayresponse,Covesthur,♭VII → I
Out Of The Blue,Debbie Gibson,♭VII → I
Coming Over ft James Hersey,Dillon Francis and Kygo,♭VII → I
Don't Let The Sun Go Down On Me,Elton John,♭VII → I
Let It Grow,Eric Clapton,♭VII → I
The Heat Is On,Glenn Frey,♭VII → I
Mischievous Function - Ochame kinou,Gojimaji-P,♭VII → I
What The Forest Taught Me,Hiroki Kikuta,♭VII → I
Strike the Earth,Jake Kaufman,♭VII → I
Mexico,James Taylor,♭VII → I
Castlevania SotN - Dracula's Castle,Michiru Yamane,♭VII → I
Acha Cha Karee,Mini Pati,♭VII → I
Love Live S2 - Yume no Tobira,Mu's,♭VII → I
Funky Freeway,Nathan Ford,♭VII → I
For Better Or Worse - Ending,Nathan Ford,♭VII → I
Burn The Witch,Radiohead,♭VII → I
Kakkoii,Romain Gauthier,♭VII → I
Sonic Battle - Emerald Town,SEGA,♭VII → I
Angel Island Act 1,Sega,♭VII → I
Alison,Slowdive,♭VII → I
TATA DoCoMo Signature Tune,Tata DOCOMO,♭VII → I
Blue Dahlia,The Gaslight Anthem,♭VII → I
Reunited,Toby Fox,♭VII → I
Enemy Approaching,Toby Fox,♭VII → I
Dating Start,Toby Fox,♭VII → I
Rapikamu,Twinklestars,♭VII → I
Animation,Xilent,♭VII → I
The Place,Xilent,♭VII → I
Gensokyo Millenium - History of the Moon,ZUN,♭VII → I
Onigashima in Fairy Land - Missing Power,ZUN,♭VII → I
